epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1965.48,0.90293,1.75187,1.07938,0.65978,0.78604,0.73787,0.58359,0.771,0.90153,0.99261,0.00020757,0.00020757,0.00020757
2,3933.75,0.80055,0.8082,1.02133,0.89672,0.82276,0.90034,0.7066,0.78599,0.63904,1.0087,0.000374729,0.000374729,0.000374729
3,5906.44,0.78631,0.66964,1.01766,0.84188,0.87901,0.89592,0.71836,0.75246,0.59289,0.97845,0.000500638,0.000500638,0.000500638
4,7874.74,0.77266,0.60151,1.01195,0.87326,0.93697,0.96392,0.79102,0.73045,0.49448,0.97045,0.000439375,0.000439375,0.000439375
5,9842.05,0.73031,0.48875,0.97862,0.95335,0.92656,0.97382,0.79342,0.71151,0.44068,0.96609,0.0003775,0.0003775,0.0003775
6,11809,0.72035,0.45829,0.96006,0.89742,0.94265,0.96615,0.79725,0.69621,0.42818,0.95995,0.000315625,0.000315625,0.000315625
7,13786.1,0.69873,0.41755,0.97171,0.94332,0.94189,0.9782,0.81371,0.6756,0.3779,0.94167,0.00025375,0.00025375,0.00025375
8,15769.2,0.67811,0.39021,0.95159,0.97608,0.94139,0.98347,0.81781,0.65863,0.34682,0.94031,0.000191875,0.000191875,0.000191875
9,17756.3,0.65555,0.36164,0.94582,0.96907,0.96397,0.98725,0.83773,0.622,0.32968,0.92358,0.00013,0.00013,0.00013
10,19742.6,0.62088,0.34145,0.9262,0.96642,0.9788,0.98986,0.84225,0.61332,0.3113,0.92273,6.8125e-05,6.8125e-05,6.8125e-05
